Category,Subcategory,Feature/Component,Description,Location,Priority,Test Type,Test Method,Notes,Implementation Time,Current Status %
Authentication,Login Flow,JWT Token Generation,POST /api/auth/login returns JWT token on valid credentials,Admin Backend,P0,AUTO,pytest: POST /api/auth/login returns valid JWT,Fully implemented with bcrypt hashing,,100%
Authentication,Login Flow,Login Form UI,Email/password form with validation,Admin Frontend,P0,AUTO,"Playwright: fill form, submit, verify redirect",Working with validation,,100%
Authentication,Login Flow,Token Storage,JWT stored in localStorage with expiration tracking,Admin Frontend,P0,AUTO,Playwright: check localStorage after login,localStorage with expiration tracking,,100%
Authentication,Login Flow,Auto-redirect on Login,Redirect to dashboard after successful login,Admin Frontend,P0,AUTO,Playwright: verify URL change after login,Redirects to dashboard,,100%
Authentication,Logout,Token Removal,Clear JWT from storage on logout,Admin Frontend,P0,AUTO,Playwright: verify localStorage cleared on logout,Clears on logout,,100%
Authentication,Logout,Redirect to Login,Navigate to login page after logout,Admin Frontend,P0,AUTO,Playwright: verify URL after logout,Working,,100%
Authentication,Session,Token Expiration Check,Validate token expiration before API calls,Admin Frontend,P0,AUTO,"pytest: mock expired token, verify rejection",Validates before API calls,,100%
Authentication,Session,Auto-logout on 401,Automatically logout when API returns 401,Admin Frontend,P0,AUTO,"Playwright: mock 401 response, verify redirect",Automatically handles,,100%
Authentication,Session,Get Current User,GET /api/auth/me returns current user info,Admin Backend,P0,AUTO,pytest: GET /api/auth/me with valid token,/api/auth/me endpoint working,,100%
Authentication,Password,Bcrypt Hashing,Passwords hashed with bcrypt before storage,Admin Backend,P0,AUTO,pytest: verify password hash format,Industry-standard implementation,,100%
Authentication,Password,Password Reset,Allow users to reset password,Admin Backend,P2,AUTO,pytest: test reset flow when implemented,Not implemented - requires email service,,0%
Authorization,Roles,Admin Role,Full access to all features,Admin Backend,P0,AUTO,pytest: verify admin can access all endpoints,Fully implemented,,100%
Authorization,Roles,Editor Role,"Create/update POIs, manage images, no delete",Admin Backend,P0,AUTO,pytest: verify editor permissions,"DB field exists, no endpoint enforcement",,60%
Authorization,Roles,Viewer Role,Read-only access to all data,Admin Backend,P0,AUTO,pytest: verify viewer is read-only,"DB field exists, no endpoint enforcement",,60%
Authorization,Permissions,Permission Decorator,require_permission() decorator on endpoints,Admin Backend,P0,AUTO,pytest: test decorator blocks unauthorized,"Basic auth only, no RBAC enforcement",,25%
Authorization,Permissions,Frontend Role Check,useAuth() hook for permission checks,Admin Frontend,P0,AUTO,Playwright: verify UI elements per role,"useAuth exists, no granular checks",,25%
Authorization,Permissions,Protected Routes,Routes require authentication to access,Admin Frontend,P0,AUTO,Playwright: verify redirect when not authenticated,Working,,100%
POI Management,Create,Create POI Endpoint,POST /api/pois/ creates new POI,Admin Backend,P0,AUTO,pytest: POST /api/pois/ with valid data,POST /api/pois/ working,,100%
POI Management,Create,Create POI Form,Multi-section accordion form for POI creation,Admin Frontend,P0,HYBRID,Playwright: fill form | Manual: verify UX flow,Multi-section form implemented,,90%
POI Management,Create,Type Selection,"Select POI type (Business, Park, Trail, Event, etc.)",Admin Frontend,P0,AUTO,"Playwright: select each type, verify form changes",9 POI types supported,,100%
POI Management,Create,Auto-save,Automatically save form changes,Admin Frontend,P1,AUTO,"Playwright: type, wait, verify API call made",Implemented but may cause issues (NN-4),,80%
POI Management,Read,Get POI by ID,GET /api/pois/{id} returns POI details,Admin Backend,P0,AUTO,pytest: GET /api/pois/{id},Working,,100%
POI Management,Read,Get POI by Slug,GET /api/pois/by-slug/{slug} returns POI,App Backend,P0,AUTO,pytest: GET /api/pois/by-slug/{slug},Working with redirects,,100%
POI Management,Read,List POIs (Admin),GET /api/admin/pois/ includes drafts,Admin Backend,P0,AUTO,pytest: verify drafts included in response,Includes drafts,,100%
POI Management,Read,List POIs (Public),GET /api/pois/ only published POIs,App Backend,P0,AUTO,pytest: verify only published returned,Filters to published only,,100%
POI Management,Read,POI List Table,"Sortable, searchable table of all POIs",Admin Frontend,P0,HYBRID,Playwright: sort/filter | Manual: verify display,"Sortable, searchable",,100%
POI Management,Update,Update POI Endpoint,PUT /api/pois/{id} updates POI,Admin Backend,P0,AUTO,pytest: PUT /api/pois/{id},NN-55: HTTP 422 errors reported,,70%
POI Management,Update,Update POI Form,Pre-populated form with existing data,Admin Frontend,P0,HYBRID,Playwright: edit fields | Manual: verify pre-population,Pre-populated form working,,90%
POI Management,Update,Partial Updates,Only send changed fields,Admin Frontend,P1,AUTO,pytest: PATCH with subset of fields,Schema validation may be too strict,,70%
