Category,Subcategory,Feature/Component,Description,Location,Priority,Notes,Implementation Time,Current Status %
Authentication,Login Flow,JWT Token Generation,POST /api/auth/login returns JWT token on valid credentials,Admin Backend,P0,,,
Authentication,Login Flow,Login Form UI,Email/password form with validation,Admin Frontend,P0,,,
Authentication,Login Flow,Token Storage,JWT stored in localStorage with expiration tracking,Admin Frontend,P0,,,
Authentication,Login Flow,Auto-redirect on Login,Redirect to dashboard after successful login,Admin Frontend,P0,,,
Authentication,Logout,Token Removal,Clear JWT from storage on logout,Admin Frontend,P0,,,
Authentication,Logout,Redirect to Login,Navigate to login page after logout,Admin Frontend,P0,,,
Authentication,Session,Token Expiration Check,Validate token expiration before API calls,Admin Frontend,P0,,,
Authentication,Session,Auto-logout on 401,Automatically logout when API returns 401,Admin Frontend,P0,,,
Authentication,Session,Get Current User,GET /api/auth/me returns current user info,Admin Backend,P0,,,
Authentication,Password,Bcrypt Hashing,Passwords hashed with bcrypt before storage,Admin Backend,P0,,,
Authentication,Password,Password Reset,Allow users to reset password,Admin Backend,P2,Not implemented - requires email service,,
Authorization,Roles,Admin Role,Full access to all features,Admin Backend,P0,,,
Authorization,Roles,Editor Role,"Create/update POIs, manage images, no delete",Admin Backend,P0,,,
Authorization,Roles,Viewer Role,Read-only access to all data,Admin Backend,P0,,,
Authorization,Permissions,Permission Decorator,require_permission() decorator on endpoints,Admin Backend,P0,,,
Authorization,Permissions,Frontend Role Check,useAuth() hook for permission checks,Admin Frontend,P0,,,
Authorization,Permissions,Protected Routes,Routes require authentication to access,Admin Frontend,P0,,,
POI Management,Create,Create POI Endpoint,POST /api/pois/ creates new POI,Admin Backend,P0,,,
POI Management,Create,Create POI Form,Multi-section accordion form for POI creation,Admin Frontend,P0,,,
POI Management,Create,Type Selection,"Select POI type (Business, Park, Trail, Event, etc.)",Admin Frontend,P0,,,
POI Management,Create,Auto-save,Automatically save form changes,Admin Frontend,P1,,,
POI Management,Read,Get POI by ID,GET /api/pois/{id} returns POI details,Admin Backend,P0,,,
POI Management,Read,Get POI by Slug,GET /api/pois/by-slug/{slug} returns POI,App Backend,P0,,,
POI Management,Read,List POIs (Admin),GET /api/admin/pois/ includes drafts,Admin Backend,P0,,,
POI Management,Read,List POIs (Public),GET /api/pois/ only published POIs,App Backend,P0,,,
POI Management,Read,POI List Table,"Sortable, searchable table of all POIs",Admin Frontend,P0,,,
POI Management,Update,Update POI Endpoint,PUT /api/pois/{id} updates POI,Admin Backend,P0,NN-55: HTTP 422 errors reported,,
POI Management,Update,Update POI Form,Pre-populated form with existing data,Admin Frontend,P0,,,
POI Management,Update,Partial Updates,Only send changed fields,Admin Frontend,P1,,,
POI Management,Delete,Delete POI Endpoint,DELETE /api/pois/{id} removes POI,Admin Backend,P0,,,
POI Management,Delete,Delete Confirmation,Confirm dialog before deletion,Admin Frontend,P0,,,
POI Management,Publication,Draft Status,POIs created as drafts by default,Admin Backend,P0,,,
POI Management,Publication,Publish POI,Change status from draft to published,Admin Backend,P0,,,
POI Management,Publication,Publication Filter,Public endpoints filter by published only,App Backend,P0,,,
POI Management,Publication,Status Badge,Show draft/published status in admin list,Admin Frontend,P0,,,
POI Management,Slugs,Auto-generate Slug,Generate slug from name + city,Admin Backend,P0,,,
POI Management,Slugs,Unique Slug Enforcement,Append number if slug exists,Admin Backend,P0,,,
POI Management,Slugs,SEO-friendly URLs,Use slugs in public URLs,App Frontend,P0,,,
POI Types,Business,Business Subtype Table,Separate table for business-specific fields,Database,P0,,,
POI Types,Business,Price Range,"price_range field (e.g., $, $$, $$$)",Admin Backend,P0,,,
POI Types,Business,Business Hours,Regular operating hours,Admin Backend,P0,,,
POI Types,Business,Business Amenities,"WiFi, parking, restrooms, etc.",Admin Backend,P0,,,
POI Types,Business,Business Detail Page,BusinessDetail.jsx component,App Frontend,P0,NN-39: Design implementation needed,,
