Task #,Ticket,Category,Task Title,Description,Assigned To,Priority,Status,Start Date,Due Date,Week,Dependencies,Notes
1,NN-55 / NN-4,CRITICAL BLOCKER,Fix POI Save/Update (HTTP 500/422),Can't save or update POIs - HTTP 500 on new POI and HTTP 422 on update. Only name and images save. All content entry is blocked until this is fixed.,Manav,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Blocks ALL content entry - must fix first
2,NN-46,CRITICAL BLOCKER,Fix Events Page Blank White Screen,Events admin form renders blank white page - can't enter any event data,Manav,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Blocks all event work
3,NN-57,CRITICAL BLOCKER,Fix Corporate Compliance Checkboxes,Radio.Group styling issue - can't toggle yes/no for comments restrictions / social media restrictions / pre-approval / branding requirements,Manav,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,
4,NN-57,CRITICAL BLOCKER,Fix Add Additional Parking Location Crash,Clicking Add Additional Parking Location goes to white screen on Trails and Parks,Manav,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,
5,NN-31,CRITICAL BLOCKER,Fix Copy Address - Only Copies City,Copy Address only copies Pittsboro instead of full street address,Robert,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Frontend fix
6,NN-38,CRITICAL BLOCKER,Fix Share Dropdown - Only Shows Link Copied,Share button only shows Link Copied - missing Facebook / Twitter / Email / Native Share options,Robert,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Frontend fix
7,NN-36,CRITICAL BLOCKER,Fix Hours Toggle on Detail Pages,Show Hours button doesn't expand to show weekly hours on any detail page,Robert,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Frontend fix
8,NN-48,CRITICAL BLOCKER,Fix Verified Badge Hover Popup,Verified badge shows but hover popup with confirmation message doesn't appear,Robert,P0 - Critical,Not Started,2/5/2026,2/7/2026,Week 1 (Feb 5-7),,Frontend fix
9,NN-57,Admin Backend,Add Teaser Paragraph 120 Character Limit,Add live character counter and enforce 120 char limit on teaser paragraph,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
10,NN-57,Admin Backend,Add Lat/Long Most Accurate Flag Button,Add toggle button like Disaster Hub / Verified for marking lat/long as most accurate,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
11,NN-57,Admin Backend,Add Parking Lot Lat/Long Field,Add latitude/longitude fields for parking locations,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1 4,
12,NN-57,Admin Backend,Add Playground Lat/Long Field,Add latitude/longitude fields for playgrounds,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
13,NN-57,Admin Backend,Add Restroom Lat/Long Field (Parks),Add latitude/longitude for restroom locations in Parks,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
14,NN-57,Admin Backend,Add Restroom Description Box (Parks),Add missing description paragraph box for restrooms in Parks,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
15,NN-57,Admin Backend,Add Restroom Photos Upload (Parks),Add photo upload section for restrooms in Parks,Manav,P0,Not Started,2/8/2026,2/10/2026,Week 2 (Feb 8-14),1,
16,NN-57,Admin Backend,Add Alcohol Policy Details Paragraph,Add description paragraph under Is Alcohol Available for paid businesses / trails / parks,Manav,P0,Not Started,2/8/2026,2/11/2026,Week 2 (Feb 8-14),1,
